,year,Tave MIR,Tave MPI,Tave NOR,Tmax,Tmax.1,Tmax.2,Tmin,Tmin.1,Tmin.2,city
127,2077-01-01,22.6870967741936,19.7064516129032,17.1322580645161,27.3967741935484,24.1516129032258,21.0451612903226,18.258064516129,15.4677419354839,13.7870967741935,Charleroi
128,2078-01-01,20.6870967741936,18.8064516129032,18.7322580645161,25.2967741935484,23.1516129032258,23.0451612903226,16.258064516129,14.9677419354839,14.8870967741935,Charleroi
129,2079-01-01,22.2870967741936,19.8064516129032,19.8322580645161,27.2967741935484,24.3516129032258,24.5451612903226,17.958064516129,15.4677419354839,15.5870967741935,Charleroi
130,2080-01-01,22.2870967741936,20.6064516129032,20.7322580645161,27.0967741935484,25.5516129032258,25.2451612903226,17.658064516129,15.9677419354839,16.3870967741936,Charleroi
131,2081-01-01,20.5870967741936,19.3064516129032,17.5322580645161,25.0967741935484,23.6516129032258,21.3451612903226,16.458064516129,15.2677419354839,14.2870967741935,Charleroi
132,2082-01-01,19.6870967741936,20.2064516129032,21.3322580645161,23.9967741935484,25.1516129032258,26.3451612903226,16.058064516129,15.4677419354839,16.2870967741936,Charleroi
133,2083-01-01,19.0870967741936,21.3064516129032,21.8322580645161,23.0967741935484,26.0516129032258,26.5451612903226,15.558064516129,17.0677419354839,17.0870967741935,Charleroi
134,2084-01-01,20.8870967741936,18.7064516129032,21.1322580645161,25.5967741935484,22.7516129032258,25.7451612903226,16.358064516129,15.1677419354839,16.8870967741936,Charleroi
135,2085-01-01,21.0870967741936,22.2064516129032,24.3322580645161,25.5967741935484,27.0516129032258,29.3451612903226,17.058064516129,17.3677419354839,19.4870967741935,Charleroi
136,2086-01-01,21.6870967741936,20.7064516129032,20.9322580645161,26.4967741935484,25.3516129032258,25.5451612903226,17.058064516129,16.3677419354839,16.4870967741935,Charleroi
137,2087-01-01,21.5870967741936,21.0064516129032,21.1322580645161,26.3967741935484,25.8516129032258,26.2451612903226,16.958064516129,16.1677419354839,15.9870967741935,Charleroi
138,2088-01-01,21.4870967741936,20.1064516129032,18.3322580645161,26.4967741935484,24.9516129032258,22.4451612903226,16.658064516129,15.8677419354839,14.5870967741935,Charleroi
139,2089-01-01,22.1870967741936,22.2064516129032,22.1322580645161,27.0967741935484,26.9516129032258,26.9451612903226,17.558064516129,17.5677419354839,17.6870967741936,Charleroi
