,centroid_lon,centroid_lat,raster_value,geometry,index_right,ogc_fid,cd_sector,tx_sector_descr_nl,tx_sector_descr_fr,tx_sector_descr_de,cd_sub_munty,tx_sub_munty_nl,tx_sub_munty_fr,tx_munty_dstr,cd_munty_refnis,tx_munty_descr_nl,tx_munty_descr_fr,tx_munty_descr_de,cd_dstr_refnis,tx_adm_dstr_descr_nl,tx_adm_dstr_descr_fr,tx_adm_dstr_descr_de,cd_prov_refnis,tx_prov_descr_nl,tx_prov_descr_fr,tx_prov_descr_de,cd_rgn_refnis,tx_rgn_descr_nl,tx_rgn_descr_fr,tx_rgn_descr_de,cd_country,cd_nuts_lvl1,cd_nuts_lvl2,cd_nuts_lvl3,ms_area_ha,ms_perimeter_m,dt_situation
3903,4.452948863380469,50.483874840328696,31.55961036682129,POINT (4.452948863380469 50.483874840328696),266,9991,52011P19-,ROBESSE,ROBESSE,ROBESSE,52011P,GOSSELIES + PARTIE DE WAYAUX,GOSSELIES + PARTIE DE WAYAUX,,52011,Charleroi,Charleroi,Charleroi,52000,Arrondissement Charleroi,Arrondissement de Charleroi,Bezirk Charleroi,50000,Provincie Henegouwen,Province du Hainaut,Provinz Hennegau,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE32,BE32B,79.7212511877,5235,2023-01-01
3904,4.454745493948706,50.483874840328696,29.79334831237793,POINT (4.454745493948706 50.483874840328696),266,9991,52011P19-,ROBESSE,ROBESSE,ROBESSE,52011P,GOSSELIES + PARTIE DE WAYAUX,GOSSELIES + PARTIE DE WAYAUX,,52011,Charleroi,Charleroi,Charleroi,52000,Arrondissement Charleroi,Arrondissement de Charleroi,Bezirk Charleroi,50000,Provincie Henegouwen,Province du Hainaut,Provinz Hennegau,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE32,BE32B,79.7212511877,5235,2023-01-01
3905,4.456542124516946,50.483874840328696,30.066362380981445,POINT (4.456542124516946 50.483874840328696),266,9991,52011P19-,ROBESSE,ROBESSE,ROBESSE,52011P,GOSSELIES + PARTIE DE WAYAUX,GOSSELIES + PARTIE DE WAYAUX,,52011,Charleroi,Charleroi,Charleroi,52000,Arrondissement Charleroi,Arrondissement de Charleroi,Bezirk Charleroi,50000,Provincie Henegouwen,Province du Hainaut,Provinz Hennegau,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE32,BE32B,79.7212511877,5235,2023-01-01
4070,4.442169079971033,50.48273163880948,32.25090408325195,POINT (4.442169079971033 50.48273163880948),266,9991,52011P19-,ROBESSE,ROBESSE,ROBESSE,52011P,GOSSELIES + PARTIE DE WAYAUX,GOSSELIES + PARTIE DE WAYAUX,,52011,Charleroi,Charleroi,Charleroi,52000,Arrondissement Charleroi,Arrondissement de Charleroi,Bezirk Charleroi,50000,Provincie Henegouwen,Province du Hainaut,Provinz Hennegau,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE32,BE32B,79.7212511877,5235,2023-01-01
4071,4.443965710539273,50.48273163880948,31.919357299804688,POINT (4.443965710539273 50.48273163880948),266,9991,52011P19-,ROBESSE,ROBESSE,ROBESSE,52011P,GOSSELIES + PARTIE DE WAYAUX,GOSSELIES + PARTIE DE WAYAUX,,52011,Charleroi,Charleroi,Charleroi,52000,Arrondissement Charleroi,Arrondissement de Charleroi,Bezirk Charleroi,50000,Provincie Henegouwen,Province du Hainaut,Provinz Hennegau,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE32,BE32B,79.7212511877,5235,2023-01-01
4072,4.445762341107511,50.48273163880948,35.88554000854492,POINT (4.445762341107511 50.48273163880948),266,9991,52011P19-,ROBESSE,ROBESSE,ROBESSE,52011P,GOSSELIES + PARTIE DE WAYAUX,GOSSELIES + PARTIE DE WAYAUX,,52011,Charleroi,Charleroi,Charleroi,52000,Arrondissement Charleroi,Arrondissement de Charleroi,Bezirk Charleroi,50000,Provincie Henegouwen,Province du Hainaut,Provinz Hennegau,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE32,BE32B,79.7212511877,5235,2023-01-01
4073,4.44755897167575,50.48273163880948,35.427101135253906,POINT (4.44755897167575 50.48273163880948),266,9991,52011P19-,ROBESSE,ROBESSE,ROBESSE,52011P,GOSSELIES + PARTIE DE WAYAUX,GOSSELIES + PARTIE DE WAYAUX,,52011,Charleroi,Charleroi,Charleroi,52000,Arrondissement Charleroi,Arrondissement de Charleroi,Bezirk Charleroi,50000,Provincie Henegouwen,Province du Hainaut,Provinz Hennegau,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE32,BE32B,79.7212511877,5235,2023-01-01
4074,4.449355602243989,50.48273163880948,34.18251419067383,POINT (4.449355602243989 50.48273163880948),266,9991,52011P19-,ROBESSE,ROBESSE,ROBESSE,52011P,GOSSELIES + PARTIE DE WAYAUX,GOSSELIES + PARTIE DE WAYAUX,,52011,Charleroi,Charleroi,Charleroi,52000,Arrondissement Charleroi,Arrondissement de Charleroi,Bezirk Charleroi,50000,Provincie Henegouwen,Province du Hainaut,Provinz Hennegau,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE32,BE32B,79.7212511877,5235,2023-01-01
4075,4.451152232812229,50.48273163880948,33.346805572509766,POINT (4.451152232812229 50.48273163880948),266,9991,52011P19-,ROBESSE,ROBESSE,ROBESSE,52011P,GOSSELIES + PARTIE DE WAYAUX,GOSSELIES + PARTIE DE WAYAUX,,52011,Charleroi,Charleroi,Charleroi,52000,Arrondissement Charleroi,Arrondissement de Charleroi,Bezirk Charleroi,50000,Provincie Henegouwen,Province du Hainaut,Provinz Hennegau,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE32,BE32B,79.7212511877,5235,2023-01-01
4076,4.452948863380469,50.48273163880948,31.53098487854004,POINT (4.452948863380469 50.48273163880948),266,9991,52011P19-,ROBESSE,ROBESSE,ROBESSE,52011P,GOSSELIES + PARTIE DE WAYAUX,GOSSELIES + PARTIE DE WAYAUX,,52011,Charleroi,Charleroi,Charleroi,52000,Arrondissement Charleroi,Arrondissement de Charleroi,Bezirk Charleroi,50000,Provincie Henegouwen,Province du Hainaut,Provinz Hennegau,03000,Waals Gewest,Région wallonne,Wallonische Region,BE,BE3,BE32,BE32B,79.7212511877,5235,2023-01-01
